final_cell_type,sample_id,gene,n_cells,average_expression,positive_fraction,CD44_ITGB1_module_mean,SPP1_module_mean
"Macrophage","FT-SA23505","SPP1",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QA",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QB",11,0.129888903507699,0.0909090909090909,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QC",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","FOLR2",11,0.131019101701455,0.0909090909090909,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","TREM2",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23506","SPP1",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QA",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QB",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QC",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","FOLR2",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","TREM2",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23508","SPP1",30,0,0,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QA",30,0.0915270708263944,0.0333333333333333,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QB",30,0.100577166020488,0.0333333333333333,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QC",30,0.127245041303227,0.0666666666666667,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","FOLR2",30,0.102326782483169,0.0666666666666667,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","TREM2",30,0,0,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23509","SPP1",28,0.200254687565983,0.0714285714285714,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QA",28,0.450574407928171,0.178571428571429,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QB",28,0.49027282624921,0.178571428571429,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QC",28,0.155269602570196,0.0714285714285714,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","FOLR2",28,0.0517996063804924,0.0357142857142857,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","TREM2",28,0.220739794251959,0.107142857142857,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23510","SPP1",150,0.15607681304859,0.06,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QA",150,1.36943415529594,0.466666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QB",150,1.22444202545818,0.426666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QC",150,1.11502524929342,0.426666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","FOLR2",150,0.244492731866279,0.126666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","TREM2",150,0.306839447450141,0.18,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23513","SPP1",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QA",16,0.186040628568166,0.0625,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QB",16,0.186040628568166,0.0625,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QC",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","FOLR2",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","TREM2",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23514","SPP1",24,0.56929100678984,0.166666666666667,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QA",24,1.61395502996107,0.5,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QB",24,1.81533896892428,0.625,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QC",24,1.34163072607652,0.458333333333333,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","FOLR2",24,0.0941692832614357,0.0416666666666667,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","TREM2",24,0.817828595532215,0.375,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23515","SPP1",39,0.623747485912208,0.17948717948718,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QA",39,1.54020359885346,0.487179487179487,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QB",39,1.42603277377567,0.461538461538462,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QC",39,1.43756527941517,0.487179487179487,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","FOLR2",39,0.134832734329882,0.0512820512820513,-0.198245121132289,0.535516712570624
